,Latitude,Longitude,Depth_m
319,42.9313009903684,-74.2781160630156,-1.75
320,42.9313009903684,-74.2781070496426,-1.66
321,42.9312943910385,-74.2780980362696,-1.62
322,42.931287791708,-74.2780890228966,-1.64
323,42.9312811923768,-74.2780890228966,-1.69
324,42.9312745930448,-74.2780800095237,-1.71
325,42.9312679937122,-74.2780709961507,-1.7
326,42.9312613943788,-74.2780619827777,-1.65
327,42.9312547950447,-74.2780619827777,-1.71
328,42.9312481957099,-74.2780529694047,-1.68
329,42.9312481957099,-74.2780439560318,-1.72
330,42.9312415963745,-74.2780349426588,-1.68
331,42.9312349970383,-74.2780259292858,-1.71
332,42.9312283977014,-74.2780259292858,-1.74
333,42.9312283977014,-74.2780169159128,-1.78
334,42.9312217983638,-74.2780169159128,-1.74
335,42.9312217983638,-74.2780079025399,-1.79
336,42.9312151990254,-74.2780079025399,-1.77
337,42.9312085996864,-74.2779988891669,-1.82
338,42.9312020003467,-74.2779988891669,-1.68
339,42.9312020003467,-74.2780079025399,-1.71
340,42.9311954010063,-74.2780169159128,-1.69
341,42.9311822023233,-74.2780259292858,-1.69
342,42.9311690036375,-74.2780349426588,-1.64
343,42.9311558049488,-74.2780439560318,-1.62
344,42.9311624042935,-74.2780439560318,-1.6
345,42.9311558049488,-74.2780439560318,-1.59
346,42.9311492056034,-74.2780439560318,-1.6
347,42.9311426062573,-74.2780349426588,-1.56
348,42.9311360069105,-74.2780349426588,-1.47
349,42.9311426062573,-74.2780349426588,-1.47
350,42.9311360069105,-74.2780349426588,-1.47
351,42.931129407563,-74.2780349426588,-1.41
352,42.9311228082148,-74.2780349426588,-1.42
353,42.9311096095162,-74.2780259292858,-1.44
354,42.9311030101659,-74.2780259292858,-1.43
355,42.9310898114631,-74.2780169159128,-1.48
356,42.9310766127575,-74.2780169159128,-1.5
357,42.9310700134036,-74.2780169159128,-1.45
358,42.9310634140491,-74.2780079025399,-1.39
359,42.9310568146938,-74.2780079025399,-1.36
360,42.9310502153378,-74.2780079025399,-1.37
361,42.9310436159811,-74.2780169159128,-1.37
362,42.9310370166237,-74.2780259292858,-1.3
363,42.9310304172656,-74.2780259292858,-1.27
364,42.9310304172656,-74.2780349426588,-1.29
365,42.9310238179067,-74.2780349426588,-1.31
366,42.9310172185472,-74.2780439560318,-1.31
367,42.931010619187,-74.2780529694047,-1.32
368,42.931010619187,-74.2780619827777,-1.32
369,42.931010619187,-74.2780800095237,-1.29
370,42.931010619187,-74.2780980362696,-1.26
371,42.931010619187,-74.2781160630156,-1.23
372,42.931010619187,-74.2781250763885,-1.23
373,42.931004019826,-74.2781431031345,-1.26
374,42.931004019826,-74.2781521165074,-1.26
375,42.931004019826,-74.2781701432534,-1.23
376,42.9309974204644,-74.2781791566264,-1.23
377,42.9309974204644,-74.2781971833723,-1.21
378,42.9309974204644,-74.2782061967453,-1.26
379,42.930990821102,-74.2782242234913,-1.27
380,42.930984221739,-74.2782332368642,-1.31
381,42.930984221739,-74.2782422502372,-1.31
382,42.930984221739,-74.2782602769831,-1.31
383,42.930990821102,-74.2782783037291,-1.34
384,42.931004019826,-74.278296330475,-1.33
385,42.9310172185472,-74.278314357221,-1.33
386,42.9310238179067,-74.2783323839669,-1.37
387,42.9310304172656,-74.2783413973399,-1.39
388,42.9310370166237,-74.2783413973399,-1.39
389,42.9310370166237,-74.2783504107129,-1.37
390,42.9310436159811,-74.2783504107129,-1.37
391,42.9310502153378,-74.2783594240859,-1.39
392,42.9310568146938,-74.2783594240859,-1.4
393,42.9310700134036,-74.2783684374588,-1.39
394,42.9310832121107,-74.2783774508318,-1.36
395,42.9310964108149,-74.2783774508318,-1.34
396,42.9311096095162,-74.2783774508318,-1.31
397,42.9311360069105,-74.2783774508318,-1.28
398,42.9311558049488,-74.2783774508318,-1.28
399,42.9311888016651,-74.2783954775778,-1.31
