,Latitude,Longitude,Depth_m,x,y,z,Time
176,42.6695259,-84.64571227,-1.45,61.796,35.606,187.449,2003-01-08T13:58:06
177,42.66951927,-84.64572129,-1.46,65.55,38.852,188.683,2003-01-08T13:58:07
178,42.66951265,-84.6457303,-1.49,60.761,38.027,189.464,2003-01-08T13:58:09
179,42.66950602,-84.64573931,-1.52,58.302,41.156,187.729,2003-01-08T13:58:11
180,42.66949939,-84.64574833,-1.5,59.251,41.63,190.379,2003-01-08T13:58:12
181,42.66947951,-84.64574833,-1.48,58.849,37.869,190.338,2003-01-08T13:58:14
182,42.66946625,-84.64573931,-1.44,60.468,39.245,188.969,2003-01-08T13:58:16
183,42.669453,-84.6457303,-1.47,59.27,41.489,192.086,2003-01-08T13:58:18
184,42.66943975,-84.64572129,-1.43,55.83,38.143,192.615,2003-01-08T13:58:20
185,42.66943312,-84.64571227,-1.42,53.435,34.169,190.282,2003-01-08T13:58:21
186,42.66942649,-84.64569425,-1.41,54.302,33.908,187.917,2003-01-08T13:58:23
187,42.66942649,-84.64566721,-1.41,57.141,33.615,188.5,2003-01-08T13:58:25
188,42.66943312,-84.64564918,-1.36,55.335,30.949,187.733,2003-01-08T13:58:27
189,42.66943975,-84.64563115,-1.37,52.835,29.129,185.009,2003-01-08T13:58:29
190,42.66944637,-84.64562214,-1.36,54.98,30.227,185.334,2003-01-08T13:58:30
191,42.66945963,-84.64561313,-1.35,54.601,27.243,185.977,2003-01-08T13:58:31
192,42.66946625,-84.64560411,-1.36,54.313,25.24,186.158,2003-01-08T13:58:32
193,42.66947951,-84.64560411,-1.38,54.665,26.642,185.983,2003-01-08T13:58:33
194,42.66948614,-84.6455951,-1.44,50.501,26.973,184.808,2003-01-08T13:58:34
195,42.66949939,-84.6455951,-1.45,48.615,27.502,185.36,2003-01-08T13:58:36
196,42.66950602,-84.64558609,-1.44,51.323,27.923,184.204,2003-01-08T13:58:37
197,42.66951927,-84.64558609,-1.43,53.257,26.887,182.154,2003-01-08T13:58:38
198,42.66953253,-84.64558609,-1.49,54.08,27.081,182.823,2003-01-08T13:58:40
199,42.66954578,-84.64558609,-1.51,53.889,25.859,183.216,2003-01-08T13:58:41
200,42.66956566,-84.64558609,-1.61,54.096,29.4,181.487,2003-01-08T13:58:43
201,42.66957892,-84.64558609,-1.6,58.987,36.806,180.457,2003-01-08T13:58:45
202,42.66959217,-84.64558609,-1.58,67.385,41.199,183.542,2003-01-08T13:58:46
203,42.66961206,-84.64558609,-1.74,71.97,46.822,187.652,2003-01-08T13:58:48
204,42.66961868,-84.6455951,-1.71,70.331,46.88,187.317,2003-01-08T13:58:49
205,42.66963856,-84.64560411,-1.74,66.605,41.608,186.855,2003-01-08T13:58:51
206,42.66965182,-84.64561313,-1.71,62.269,37.501,186.953,2003-01-08T13:58:53
207,42.66966507,-84.64561313,-1.69,60.28,36.968,185.223,2003-01-08T13:58:54
208,42.66967833,-84.64562214,-1.65,61.431,36.379,188.999,2003-01-08T13:58:56
209,42.66969158,-84.64562214,-1.64,63.03,34.31,188.792,2003-01-08T13:58:57
210,42.66970484,-84.64563115,-1.75,66.739,37.216,189.082,2003-01-08T13:58:59
211,42.66971809,-84.64563115,-1.75,69.359,39.879,193.101,2003-01-08T13:59:00
212,42.66972472,-84.64564017,-1.76,66.629,39.12,193.125,2003-01-08T13:59:01
213,42.66973797,-84.64564918,-1.77,62.369,40.178,193.211,2003-01-08T13:59:03
214,42.66975123,-84.64564918,-1.81,61.977,42.033,193.085,2003-01-08T13:59:04
215,42.66976448,-84.64565819,-1.75,61.598,41.253,193.649,2003-01-08T13:59:06
216,42.66977774,-84.64565819,-1.7,58.155,39.383,191.877,2003-01-08T13:59:08
217,42.66979099,-84.64565819,-1.66,56.21,37.874,189.457,2003-01-08T13:59:09
218,42.66980425,-84.64565819,-1.67,55.716,37.555,190.541,2003-01-08T13:59:11
